Rank,TeamName,Score,Entries,LastSubmission
46,one_piece_exists,0.35803,2,"Mon, 29 May 2023 20:38"
47,netnet,0.35624,8,"Tue, 6 Jun 2023 11:21"
48,weiwei_du,0.35472,18,"Tue, 6 Jun 2023 00:01"
48,joshchang0111,0.35472,1,"Wed, 7 Jun 2023 16:13"
48,Wei_Yao_Wang,0.35472,5,"Fri, 9 Jun 2023 04:16"
51,SilverWolf,0.35368,2,"Sun, 28 May 2023 10:28"
52,hhhhh,0.35306,1,"Sat, 3 Jun 2023 09:44"
53,dmlab,0.35194,3,"Tue, 23 May 2023 21:31"
54,guu,0.35036,3,"Sat, 3 Jun 2023 12:56"
55,okmtlab,0.34890,22,"Thu, 8 Jun 2023 19:17"
56,NeuralSlayers,0.34703,20,"Tue, 6 Jun 2023 06:11"
57,Bo,0.34548,8,"Sat, 3 Jun 2023 22:39"
58,abs{ans},0.34409,15,"Thu, 1 Jun 2023 23:10"
59,jstzs_suancaiyu,0.34081,23,"Fri, 9 Jun 2023 10:58"
60,GPTmyrtle,0.33960,10,"Sun, 4 Jun 2023 20:17"
60,TheDudeAbides,0.33960,9,"Sun, 4 Jun 2023 21:05"
62,Shingo.S,0.33898,42,"Fri, 9 Jun 2023 06:42"
63,zhendong_sun,0.33877,10,"Wed, 7 Jun 2023 03:24"
64,zhiwei,0.33706,2,"Thu, 8 Jun 2023 23:15"
65,aptx1231,0.33516,58,"Fri, 9 Jun 2023 07:59"
66,DM_Quadrat,0.33407,4,"Fri, 2 Jun 2023 21:19"
67,Onewo,0.33347,11,"Fri, 26 May 2023 14:45"
68,datateam-ucm,0.31289,50,"Fri, 9 Jun 2023 06:21"
69,ict_bigdata,0.31235,12,"Fri, 9 Jun 2023 03:46"
70,attk,0.31204,17,"Mon, 29 May 2023 09:18"
71,Lucky_boy,0.31171,1,"Thu, 1 Jun 2023 13:31"
72,FEG_Team,0.30701,7,"Sun, 4 Jun 2023 15:24"
73,liuzy,0.30594,4,"Wed, 24 May 2023 22:11"
74,jstzs_YYQQCCFF,0.30578,8,"Sat, 27 May 2023 11:15"
75,huster1,0.30405,12,"Tue, 30 May 2023 11:27"
76,huster2,0.30401,12,"Mon, 29 May 2023 19:40"
77,caiyusheng,0.30377,3,"Wed, 31 May 2023 20:47"
78,jstzs_fydyyg,0.30363,5,"Wed, 24 May 2023 16:23"
79,otto,0.30301,9,"Sun, 28 May 2023 21:54"
80,RBGF,0.30276,13,"Tue, 30 May 2023 22:55"
81,akwila_owen_kris,0.30274,1,"Thu, 1 Jun 2023 03:59"
81,Pepcy,0.30274,2,"Wed, 7 Jun 2023 23:37"
83,peng_xian_shu,0.30262,8,"Mon, 29 May 2023 17:57"
84,jstzs_xspxc,0.30189,6,"Wed, 24 May 2023 12:13"
85,HappyTriangle,0.30114,10,"Mon, 5 Jun 2023 17:28"
86,jaewook,0.30006,2,"Wed, 31 May 2023 16:41"
87,jstzs_wwd,0.29997,9,"Tue, 30 May 2023 22:30"
88,InnovaDataHub,0.29919,4,"Fri, 9 Jun 2023 02:36"
89,jstzs_LW,0.29815,1,"Wed, 31 May 2023 18:22"
90,whatsnext,0.29666,10,"Tue, 30 May 2023 15:09"
91,R3CupMenders,0.29631,4,"Mon, 5 Jun 2023 11:54"
92,The_Imbalanced_Improbables,0.29629,12,"Tue, 23 May 2023 20:41"
93,gtbns,0.29627,5,"Tue, 23 May 2023 17:04"
93,Symphony,0.29627,17,"Thu, 1 Jun 2023 03:30"
95,PKUFIB,0.29616,4,"Thu, 1 Jun 2023 11:06"
96,suiwan,0.29525,2,"Wed, 24 May 2023 08:18"
96,huachengxia,0.29525,1,"Wed, 24 May 2023 08:33"
96,jstzs_nsoppskeor,0.29525,1,"Wed, 24 May 2023 12:45"
96,jstzs_tuyi,0.29525,1,"Wed, 24 May 2023 17:09"
96,Ayeer,0.29525,4,"Thu, 25 May 2023 13:52"
96,iKUN,0.29525,5,"Fri, 26 May 2023 11:41"
96,woosheep,0.29525,9,"Tue, 30 May 2023 20:36"
96,stu,0.29525,8,"Wed, 31 May 2023 13:26"
96,Hattori,0.29525,13,"Fri, 2 Jun 2023 20:35"
96,Nahidas_dogs,0.29525,3,"Sun, 4 Jun 2023 21:34"
96,wuxuzeng,0.29525,4,"Mon, 5 Jun 2023 21:22"
96,xzssyy,0.29525,5,"Tue, 6 Jun 2023 17:34"
96,sornk,0.29525,5,"Wed, 7 Jun 2023 17:54"
96,sg_wang,0.29525,3,"Wed, 7 Jun 2023 23:46"
96,eioway,0.29525,1,"Thu, 8 Jun 2023 00:40"
96,Essen,0.29525,1,"Thu, 8 Jun 2023 12:19"
96,Rxccc,0.29525,3,"Thu, 8 Jun 2023 16:22"
96,Nelson,0.29525,2,"Thu, 8 Jun 2023 23:41"
96,qiang_chen,0.29525,5,"Fri, 9 Jun 2023 23:11"
96,wyp,0.29525,1,"Tue, 13 Jun 2023 09:37"
96,FromZeroToHero,0.29525,7,"Fri, 23 Jun 2023 21:38"
96,Neo,0.29525,10,"Tue, 27 Jun 2023 20:34"
118,will0x6c5f,0.29429,10,"Thu, 25 May 2023 19:02"
119,d1,0.29048,1,"Fri, 9 Jun 2023 04:07"
120,Victky,0.29001,10,"Wed, 24 May 2023 15:39"
121,slow_down,0.28107,14,"Wed, 7 Jun 2023 18:38"
122,"Unknown User",0.27902,1,"Fri, 9 Jun 2023 02:17"
123,ecnu_rec,0.27834,4,"Wed, 31 May 2023 14:31"
124,"Unknown User",0.26605,1,"Thu, 8 Jun 2023 16:20"
125,suni,0.25460,6,"Fri, 9 Jun 2023 00:19"
126,MI,0.23223,13,"Wed, 7 Jun 2023 11:48"
127,JKU,0.22169,1,"Mon, 12 Jun 2023 22:47"
128,sankurero,0.21886,9,"Wed, 24 May 2023 21:19"
129,jstzs_qq2ww,0.21687,1,"Wed, 31 May 2023 21:58"
130,DarkBlue,0.17949,5,"Tue, 6 Jun 2023 14:03"
131,alphonse,0.16122,2,"Sat, 3 Jun 2023 20:46"
132,maximum_occupany_120,0.13020,22,"Sun, 11 Jun 2023 16:34"
133,isnt,0.12462,1,"Wed, 19 Jul 2023 05:44"
134,"Unknown User",0.11987,1,"Thu, 1 Jun 2023 22:11"
135,ModelMasters,0.08490,4,"Wed, 7 Jun 2023 02:57"
136,cao_cheng_yu,0.07746,4,"Sun, 4 Jun 2023 15:30"
137,ylchen_gogogoo,0.06836,2,"Mon, 28 Aug 2023 20:23"
138,renxiaohan666,0.02790,1,"Mon, 5 Jun 2023 22:44"
139,damon2146,0.00021,3,"Thu, 8 Jun 2023 12:19"
140,AI_STAT,0.00014,2,"Thu, 25 May 2023 21:49"
140,TestTeam,0.00014,8,"Wed, 31 May 2023 13:02"
140,DataExplorers,0.00014,1,"Fri, 9 Jun 2023 00:42"
140,ECNU_wong,0.00014,2,"Tue, 20 Jun 2023 20:01"
140,ContinualLight,0.00014,2,"Wed, 1 Nov 2023 10:19"
145,QDU,0.00014,3,"Thu, 25 May 2023 19:34"
145,xykkk,0.00014,8,"Sat, 27 May 2023 10:57"
147,tiket.titans,0.00013,1,"Fri, 2 Jun 2023 16:31"
148,zhu_hao_ze,0.00011,7,"Wed, 24 May 2023 13:51"
148,Rusamber,0.00011,1,"Thu, 25 May 2023 02:21"
150,test_2023,0.00008,1,"Sat, 3 Jun 2023 19:59"
150,aronachan,0.00008,1,"Wed, 28 Jun 2023 17:13"
152,kim3603,0.00003,1,"Tue, 23 May 2023 15:23"
153,Ragita,0.00002,1,"Tue, 23 May 2023 15:49"
153,gervin,0.00002,1,"Thu, 25 May 2023 07:14"
153,hello_ai,0.00002,6,"Fri, 26 May 2023 00:17"
153,FightingTeam,0.00002,2,"Sun, 28 May 2023 17:30"
153,Kun,0.00002,1,"Sun, 28 May 2023 21:26"
153,JsKing,0.00002,1,"Wed, 31 May 2023 17:19"
153,mei_mei,0.00002,6,"Thu, 1 Jun 2023 14:17"
153,ctrl_c-ctrl_v,0.00002,1,"Sun, 4 Jun 2023 14:20"
153,trytry,0.00002,3,"Tue, 6 Jun 2023 23:46"
153,Elite_Hackerz,0.00002,2,"Thu, 8 Jun 2023 22:49"
153,liang_chen_mei_jin,0.00002,1,"Fri, 9 Jun 2023 01:19"
153,palak_jhamnani,0.00002,3,"Wed, 21 Jun 2023 18:53"
165,coehyeonyeong,0.00001,5,"Mon, 29 May 2023 08:17"
165,eduardo_hernandez,0.00001,2,"Fri, 2 Jun 2023 04:48"
167,plus1participant,0.00000,2,"Wed, 24 May 2023 23:05"
167,lightwave,0.00000,3,"Thu, 25 May 2023 15:22"
167,rocampa,0.00000,1,"Wed, 31 May 2023 03:41"
167,haoyu_han,0.00000,1,"Wed, 7 Jun 2023 17:05"
167,dongwon_kim,0.00000,1,"Mon, 12 Jun 2023 10:37"
167,zeyu_liu,0.00000,2,"Wed, 14 Jun 2023 10:41"
167,zihao_qiu,0.00000,8,"Thu, 29 Jun 2023 10:03"
167,feyza_ozen,0.00000,1,"Wed, 20 Dec 2023 21:14"
